                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.6541,                 1.8675,                 1.0787,                 0.5158,                0.55009,                 0.5562,                0.44791,                0.99442,                 7.0639,                 1.4196,             0.00054477,             0.00054477,             0.00054477
                      2,                0.95968,                 1.4986,                 1.2516,                0.00109,                0.21173,                0.00069,                0.00029,                 3.8024,                    nan,                   4884,              0.0010895,              0.0010895,              0.0010895
                      3,                 1.0412,                 1.5317,                 1.3151,                0.00106,                0.14509,                0.00057,                0.00015,                 4.3871,                    inf,                 171.02,              0.0016233,              0.0016233,              0.0016233
                      4,                  1.223,                 1.4406,                 1.3482,                0.00764,                0.13889,                0.00347,                0.00174,                 2.9743,                 415.31,                  5.954,              0.0016175,              0.0016175,              0.0016175
                      5,                0.99016,                 1.4044,                 1.2689,                0.42955,                 0.1247,                0.11328,                0.08524,                 2.2084,                 5.8039,                 6.3649,               0.001601,               0.001601,               0.001601
                      6,                0.98972,                 1.1111,                 1.2531,                0.61929,                0.52423,                0.53117,                0.39595,                 1.2171,                 2.0792,                 1.5224,              0.0015845,              0.0015845,              0.0015845
                      7,                0.86947,                0.95035,                  1.194,                0.92011,                0.80216,                0.91279,                 0.7316,                0.71402,                 1.1909,                 1.0701,               0.001568,               0.001568,               0.001568
                      8,                0.81986,                0.88438,                 1.1687,                0.95947,                0.79923,                0.90949,                 0.7721,                0.62709,                 1.0778,                0.98947,              0.0015515,              0.0015515,              0.0015515
                      9,                0.80986,                  0.898,                 1.1523,                0.89431,                0.72713,                0.80173,                 0.6645,                0.81796,                 2.3508,                 1.1654,               0.001535,               0.001535,               0.001535
                     10,                0.72884,                 0.7974,                 1.1058,                0.95389,                0.82164,                0.91103,                0.79027,                0.59033,                0.74026,                0.95394,              0.0015185,              0.0015185,              0.0015185
                     11,                0.73384,                0.77304,                 1.1044,                0.87689,                0.84787,                0.88072,                0.74099,                0.59422,                0.78737,                0.95344,               0.001502,               0.001502,               0.001502
                     12,                0.72207,                 0.7009,                 1.1007,                0.87232,                0.90637,                0.95155,                0.81668,                0.55853,                0.69316,                 0.9396,              0.0014855,              0.0014855,              0.0014855
                     13,                0.68972,                 0.6983,                 1.0677,                0.90767,                  0.874,                0.93521,                0.82013,                0.54881,                0.58402,                0.89885,               0.001469,               0.001469,               0.001469
                     14,                0.68768,                0.69083,                 1.0792,                0.92777,                0.90603,                0.97449,                0.86574,                0.52751,                0.50351,                0.91654,              0.0014525,              0.0014525,              0.0014525
                     15,                0.66716,                0.69462,                 1.0795,                0.94174,                0.94356,                0.97815,                0.85366,                0.50824,                 0.6668,                0.89739,               0.001436,               0.001436,               0.001436
                     16,                 0.6209,                0.60324,                 1.0163,                0.97041,                 0.8923,                0.95541,                0.84996,                0.45872,                 0.5529,                0.86594,              0.0014195,              0.0014195,              0.0014195
                     17,                0.61044,                0.63375,                 1.0414,                0.96147,                0.94205,                0.97358,                0.89551,                0.44321,                 0.4621,                0.87141,              0.0014029,              0.0014029,              0.0014029
                     18,                0.61687,                0.61095,                 1.0398,                0.92265,                0.92642,                0.95531,                0.86493,                0.47276,                0.60383,                0.88108,              0.0013864,              0.0013864,              0.0013864
                     19,                0.59225,                0.57277,                 1.0164,                0.92572,                0.97015,                0.97347,                0.87401,                0.45282,                0.45643,                0.86125,              0.0013699,              0.0013699,              0.0013699
                     20,                0.60468,                 0.5897,                 1.0186,                0.97609,                0.94116,                0.97377,                0.88622,                0.45833,                0.47803,                0.87694,              0.0013534,              0.0013534,              0.0013534
                     21,                0.63985,                0.59183,                 1.0491,                0.95538,                0.95833,                0.98017,                0.88192,                 0.4464,                 0.4665,                0.86327,              0.0013369,              0.0013369,              0.0013369
                     22,                0.60505,                0.56342,                 1.0287,                0.95642,                0.92849,                 0.9678,                0.87367,                0.45932,                0.45886,                0.87958,              0.0013204,              0.0013204,              0.0013204
                     23,                0.60468,                0.58116,                 1.0415,                0.92614,                0.96063,                 0.9769,                0.89091,                0.45066,                0.41895,                0.86518,              0.0013039,              0.0013039,              0.0013039
                     24,                0.56011,                0.51525,                0.99239,                0.94417,                0.95929,                0.97962,                0.88832,                0.45834,                0.42594,                0.88923,              0.0012874,              0.0012874,              0.0012874
                     25,                0.57459,                0.56541,                 1.0105,                0.95721,                0.97065,                0.97773,                0.90438,                0.41976,                0.44881,                0.85633,              0.0012709,              0.0012709,              0.0012709
                     26,                0.56788,                0.52684,                 1.0156,                0.95672,                0.97184,                0.97977,                0.89973,                0.42653,                0.45442,                0.84906,              0.0012544,              0.0012544,              0.0012544
                     27,                0.53752,                0.52464,                 1.0029,                 0.9614,                0.96001,                0.97968,                0.91307,                0.40484,                0.43118,                0.83873,              0.0012379,              0.0012379,              0.0012379
                     28,                0.56933,                0.53556,                 1.0072,                0.98209,                0.97547,                0.98275,                0.90607,                0.39211,                0.38201,                0.82712,              0.0012214,              0.0012214,              0.0012214
                     29,                0.51317,                0.47158,                 0.9705,                0.97711,                0.97015,                0.98006,                 0.9194,                0.37805,                 0.3589,                0.82308,              0.0012049,              0.0012049,              0.0012049
                     30,                0.52545,                0.47508,                 0.9696,                0.97343,                0.98199,                0.97902,                0.90738,                0.39052,                0.36204,                0.83728,              0.0011884,              0.0011884,              0.0011884
                     31,                0.52585,                0.47585,                0.97858,                0.96539,                0.97488,                0.98133,                0.92302,                0.38888,                0.36389,                0.82998,              0.0011719,              0.0011719,              0.0011719
                     32,                0.53068,                0.50417,                0.99822,                0.97771,                0.97377,                0.97957,                0.91648,                0.39592,                 0.3764,                0.82846,              0.0011554,              0.0011554,              0.0011554
                     33,                0.50413,                 0.4398,                0.95863,                0.97043,                0.98242,                0.98101,                0.91999,                0.38076,                0.35393,                0.81879,              0.0011389,              0.0011389,              0.0011389
                     34,                0.51209,                0.50255,                0.98632,                 0.9729,                 0.9771,                0.98273,                 0.9185,                0.38737,                0.35745,                 0.8252,              0.0011224,              0.0011224,              0.0011224
                     35,                0.50042,                 0.4433,                0.97077,                0.97187,                0.97885,                0.97606,                0.91004,                0.38509,                0.36834,                 0.8251,              0.0011059,              0.0011059,              0.0011059
                     36,                0.50885,                0.44594,                0.97898,                0.97384,                 0.9771,                0.97906,                0.91585,                0.37047,                0.33512,                0.81839,              0.0010894,              0.0010894,              0.0010894
