                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.48732,                0.41149,                 0.9653,                0.97967,                0.97788,                0.98478,                0.92686,                0.37664,                0.31412,                0.81986,              0.0010894,              0.0010894,              0.0010894
                     37,                0.48307,                0.38152,                0.96137,                0.95794,                0.98889,                0.98585,                 0.9388,                0.35415,                0.31454,                0.81131,              0.0010729,              0.0010729,              0.0010729
                     38,                0.45151,                0.39404,                0.95492,                0.96107,                0.96853,                0.97965,                0.93753,                0.34043,                 0.3205,                0.80562,              0.0010564,              0.0010564,              0.0010564
                     39,                0.47966,                0.39524,                0.96111,                0.95554,                0.97786,                0.98303,                0.93837,                0.35013,                0.31429,                0.80772,              0.0010399,              0.0010399,              0.0010399
                     40,                 0.4846,                0.41815,                0.97756,                0.97797,                0.98884,                0.98605,                0.93757,                0.35012,                0.28544,                0.80661,              0.0010234,              0.0010234,              0.0010234
                     41,                0.46631,                0.39971,                0.94372,                0.96333,                0.97824,                 0.9851,                0.93983,                0.34521,                0.31174,                 0.8069,              0.0010069,              0.0010069,              0.0010069
                     42,                0.47205,                0.39126,                 0.9482,                 0.9626,                 0.9918,                0.98703,                0.94925,                0.34556,                0.28593,                0.80682,             0.00099036,             0.00099036,             0.00099036
                     43,                0.44953,                 0.3688,                0.92786,                0.98561,                0.99272,                 0.9853,                0.94082,                0.34265,                0.28921,                0.80734,             0.00097386,             0.00097386,             0.00097386
                     44,                0.45959,                 0.3978,                0.94994,                0.98351,                0.97464,                0.98562,                  0.944,                0.33474,                0.26592,                0.80671,             0.00095736,             0.00095736,             0.00095736
                     45,                0.44149,                0.38089,                0.93815,                0.97744,                0.98497,                0.98406,                0.93651,                0.33207,                0.27441,                0.80362,             0.00094085,             0.00094085,             0.00094085
                     46,                0.42995,                0.36026,                0.93476,                  0.986,                0.98242,                0.98482,                0.95035,                0.32988,                0.27564,                0.80356,             0.00092435,             0.00092435,             0.00092435
                     47,                0.43052,                0.35783,                0.92853,                0.98005,                0.99343,                0.98777,                0.94118,                0.34643,                0.29324,                0.81055,             0.00090785,             0.00090785,             0.00090785
