                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     11,                 1.0221,                 1.0306,                 1.2516,                0.00033,                    0.1,                0.00018,                  4e-05,                 4.8838,                 14.864,                 14.806,               0.001802,               0.001802,               0.001802
                     12,                0.96455,                0.89397,                 1.1974,                0.90909,                   0.25,                0.29833,                0.18435,                 1.8085,                 5.2102,                 2.5546,              0.0017822,              0.0017822,              0.0017822
                     13,                 1.0006,                 0.9304,                 1.2522,                0.00143,                  0.275,                0.00085,                0.00046,                 3.4838,                    inf,                 17.359,              0.0017624,              0.0017624,              0.0017624
                     14,                 1.1012,                0.97914,                 1.3071,                0.01481,                  0.675,                0.01129,                0.00823,                  1.071,                    inf,                 4.0997,              0.0017426,              0.0017426,              0.0017426
                     15,                0.98067,                  0.862,                 1.2302,                0.85866,                0.91144,                0.92528,                0.75304,                0.71021,                  2.048,                 1.0493,              0.0017228,              0.0017228,              0.0017228
                     16,                0.93079,                0.80068,                 1.2409,                0.10503,                  0.675,                0.08072,                0.06368,                 1.0575,                 8.6776,                  1.982,               0.001703,               0.001703,               0.001703
                     17,                0.83077,                0.83268,                  1.131,                0.75441,                   0.85,                0.82788,                0.64841,                0.79527,                 1.3124,                 1.1032,              0.0016832,              0.0016832,              0.0016832
                     18,                0.82791,                0.76495,                 1.1624,                0.72548,                  0.775,                0.76447,                 0.6379,                0.67465,                 3.5225,                 1.0191,              0.0016634,              0.0016634,              0.0016634
                     19,                0.77156,                0.72636,                 1.0953,                0.42566,                   0.65,                0.37696,                0.33385,                0.74019,                 2.1086,                  1.042,              0.0016436,              0.0016436,              0.0016436
                     20,                0.76843,                0.71141,                  1.084,                0.80366,                  0.725,                0.77415,                0.65799,                0.81629,                 1.2117,                 1.1293,              0.0016238,              0.0016238,              0.0016238
                     21,                0.86224,                0.80399,                 1.1798,                 0.0883,                  0.725,                0.07843,                 0.0624,                0.82998,                 8.6569,                  1.188,               0.001604,               0.001604,               0.001604
                     22,                0.88614,                0.91738,                 1.1626,                0.25101,                  0.175,                0.06164,                0.04834,                  2.613,                 4.3591,                 3.3411,              0.0015842,              0.0015842,              0.0015842
                     23,                0.83881,                0.80792,                 1.1243,                0.47189,                    0.3,                0.27162,                0.23032,                    2.3,                 2.4919,                 3.0722,              0.0015644,              0.0015644,              0.0015644
                     24,                0.80288,                0.74323,                 1.1101,                 0.8447,                   0.45,                0.48236,                0.36425,                 1.4868,                 1.7531,                 2.0243,              0.0015446,              0.0015446,              0.0015446
                     25,                0.81624,                0.69337,                 1.1451,                      1,                 0.8683,                0.94722,                0.83436,                0.57863,                0.66139,                0.95594,              0.0015248,              0.0015248,              0.0015248
                     26,                0.74661,                0.76541,                 1.0833,                0.96426,                    0.9,                0.93366,                0.81741,                0.61836,                0.81929,                 1.0207,               0.001505,               0.001505,               0.001505
                     27,                0.76632,                0.69968,                 1.1202,                0.96007,                  0.925,                0.94169,                0.82168,                0.63557,                0.68089,                 1.0263,              0.0014852,              0.0014852,              0.0014852
                     28,                0.79519,                0.71867,                 1.0795,                 0.9487,                0.92464,                0.93622,                0.81518,                 0.5946,                0.69836,                 0.9909,              0.0014654,              0.0014654,              0.0014654
                     29,                0.66687,                0.62232,                 1.0375,                0.91422,                    0.9,                0.92537,                0.78254,                  0.589,                0.70301,                 1.0085,              0.0014456,              0.0014456,              0.0014456
                     30,                0.77188,                0.70857,                 1.0841,                0.97266,                 0.8896,                0.94694,                0.80837,                0.61687,                0.67827,                0.99097,              0.0014258,              0.0014258,              0.0014258
                     31,                0.74717,                0.66462,                 1.0936,                0.91851,                    0.9,                0.95726,                0.84683,                0.56269,                0.68598,                0.93884,               0.001406,               0.001406,               0.001406
                     32,                0.79775,                0.68742,                 1.1423,                0.94975,                0.94508,                0.96653,                0.85931,                0.54483,                0.58655,                0.93759,              0.0013862,              0.0013862,              0.0013862
                     33,                0.72725,                0.59958,                 1.0379,                0.91892,                  0.975,                0.96009,                0.85395,                 0.5564,                0.62958,                0.93096,              0.0013664,              0.0013664,              0.0013664
                     34,                0.68729,                0.62266,                 1.0578,                0.97132,                  0.925,                0.95599,                0.85083,                0.55409,                0.56026,                 0.9078,              0.0013466,              0.0013466,              0.0013466
                     35,                0.70617,                0.60992,                 1.0441,                0.94771,                   0.95,                0.95405,                0.84475,                0.56009,                0.54461,                0.92837,              0.0013268,              0.0013268,              0.0013268
                     36,                0.65064,                0.55908,                 1.0479,                0.93494,                  0.875,                0.92407,                0.82063,                0.55398,                0.62456,                0.92351,               0.001307,               0.001307,               0.001307
                     37,                0.72267,                0.60823,                 1.0527,                0.96175,                  0.875,                 0.9186,                0.78125,                0.63151,                0.66396,                0.95712,              0.0012872,              0.0012872,              0.0012872
                     38,                0.66377,                0.59047,                 1.0251,                 0.9244,                  0.975,                0.94864,                0.83946,                0.58626,                0.51928,                0.93395,              0.0012674,              0.0012674,              0.0012674
                     39,                0.64877,                0.54844,                  1.002,                0.92657,                  0.975,                0.95764,                0.84946,                0.50824,                0.53941,                0.89375,              0.0012476,              0.0012476,              0.0012476
                     40,                0.62691,                0.54417,                 1.0036,                0.95101,                0.97069,                0.95907,                0.86342,                0.51612,                0.49939,                0.89788,              0.0012278,              0.0012278,              0.0012278
                     41,                0.65738,                0.56486,                 1.0194,                 0.9372,                   0.95,                0.95871,                0.86221,                0.52734,                0.51093,                 0.9028,               0.001208,               0.001208,               0.001208
                     42,                0.65926,                0.55922,                 1.0419,                0.94179,                   0.95,                 0.9534,                0.83679,                0.54905,                0.56548,                0.91332,              0.0011882,              0.0011882,              0.0011882
                     43,                0.60379,                0.49106,                0.97061,                0.96091,                  0.925,                0.95644,                0.84687,                0.51626,                0.54475,                0.90458,              0.0011684,              0.0011684,              0.0011684
                     44,                0.67584,                0.57224,                 1.0734,                0.96919,                   0.95,                 0.9552,                0.85646,                0.49081,                 0.4654,                0.88521,              0.0011486,              0.0011486,              0.0011486
                     45,                0.62732,                0.52012,                 1.0088,                0.92013,                   0.95,                0.95238,                0.85066,                0.47491,                0.53196,                0.89044,              0.0011288,              0.0011288,              0.0011288
                     46,                0.63867,                0.51256,                 1.0133,                0.95022,                0.95456,                0.95963,                0.88128,                0.45629,                0.46615,                0.89151,               0.001109,               0.001109,               0.001109
                     47,                0.62257,                0.50455,                 1.0103,                0.94322,                  0.975,                0.96156,                0.87151,                0.44665,                 0.4435,                0.89409,              0.0010892,              0.0010892,              0.0010892
                     48,                0.63066,                0.52587,                 1.0368,                0.95295,                  0.975,                0.96577,                0.86988,                0.47417,                0.47859,                0.88299,              0.0010694,              0.0010694,              0.0010694
                     49,                0.60968,                0.49608,                 1.0277,                0.91918,                  0.975,                0.96555,                0.87634,                0.50169,                0.46581,                0.89064,              0.0010496,              0.0010496,              0.0010496
                     50,                0.56858,                0.49746,                0.98228,                0.97432,                0.94852,                0.95694,                0.85326,                0.54045,                0.63769,                0.93305,              0.0010298,              0.0010298,              0.0010298
                     51,                 0.5813,                 0.4793,                0.99064,                 0.9427,                  0.975,                0.96968,                0.88019,                0.50625,                0.52635,                0.92178,                0.00101,                0.00101,                0.00101
                     52,                0.56668,                0.49397,                0.98362,                0.94632,                   0.95,                0.96892,                 0.8687,                0.49573,                0.45503,                0.91868,              0.0009902,              0.0009902,              0.0009902
                     53,                0.59165,                0.49307,                  1.015,                 0.9729,                  0.975,                0.97577,                0.87163,                0.48259,                0.43407,                0.90592,              0.0009704,              0.0009704,              0.0009704
                     54,                0.56073,                 0.4834,                0.97806,                0.94498,                  0.975,                0.96649,                0.86371,                0.48322,                0.43372,                0.89021,              0.0009506,              0.0009506,              0.0009506
                     55,                0.59512,                0.46718,                0.99251,                0.92468,                   0.95,                0.96209,                0.84306,                0.51539,                0.45752,                0.90102,              0.0009308,              0.0009308,              0.0009308
                     56,                0.59333,                0.47659,                0.99877,                0.96675,                0.72686,                0.86217,                0.75268,                0.55495,                0.72026,                0.94822,               0.000911,               0.000911,               0.000911
                     57,                0.61271,                0.51317,                 1.0224,                0.95432,                  0.825,                0.92196,                0.81424,                0.51907,                0.57495,                 0.9173,              0.0008912,              0.0008912,              0.0008912
                     58,                0.61948,                0.49691,                 1.0151,                0.97132,                  0.975,                0.96389,                0.88031,                0.49031,                0.40179,                0.87562,              0.0008714,              0.0008714,              0.0008714
                     59,                 0.5769,                0.48742,                 1.0057,                0.97278,                  0.975,                0.96362,                0.90474,                0.43112,                0.38606,                0.85852,              0.0008516,              0.0008516,              0.0008516
                     60,                0.54185,                0.43761,                0.95301,                0.97215,                  0.975,                0.96282,                0.89207,                0.45328,                 0.4131,                0.87108,              0.0008318,              0.0008318,              0.0008318
                     61,                0.59219,                0.47314,                 1.0131,                0.97486,                0.96936,                 0.9615,                0.88621,                0.45294,                0.43653,                0.87806,               0.000812,               0.000812,               0.000812
                     62,                 0.5592,                0.42442,                0.98019,                0.94983,                0.94678,                0.95708,                  0.879,                0.43887,                 0.4232,                0.86498,              0.0007922,              0.0007922,              0.0007922
                     63,                0.53922,                  0.456,                0.96248,                0.97419,                0.94356,                0.95778,                0.88536,                0.45195,                0.43419,                0.86748,              0.0007724,              0.0007724,              0.0007724
                     64,                0.50634,                 0.4339,                0.94963,                0.95052,                0.96073,                0.96393,                0.89581,                0.41764,                 0.4005,                0.85737,              0.0007526,              0.0007526,              0.0007526
                     65,                0.53017,                0.42714,                0.97823,                0.96581,                  0.975,                0.96582,                0.89886,                0.39613,                0.40074,                0.84584,              0.0007328,              0.0007328,              0.0007328
                     66,                0.53506,                0.45051,                0.98663,                0.94837,                  0.975,                0.96021,                0.90756,                0.38414,                0.39284,                0.84665,               0.000713,               0.000713,               0.000713
                     67,                0.49439,                0.41772,                0.94338,                0.93671,                  0.975,                0.95094,                0.88495,                0.41014,                 0.3817,                0.85351,              0.0006932,              0.0006932,              0.0006932
                     68,                0.49115,                0.39859,                0.93457,                0.92852,                  0.975,                0.94577,                0.88385,                0.38818,                0.36614,                0.84869,              0.0006734,              0.0006734,              0.0006734
                     69,                0.52117,                0.42816,                0.98831,                0.92533,                  0.975,                0.95454,                0.88801,                0.37778,                0.34528,                0.84165,              0.0006536,              0.0006536,              0.0006536
                     70,                0.53165,                0.42813,                0.97273,                0.94475,                   0.95,                0.95991,                0.90562,                0.39385,                0.37115,                0.84229,              0.0006338,              0.0006338,              0.0006338
                     71,                0.50377,                0.41101,                 0.9476,                0.94274,                   0.95,                0.96344,                0.90455,                0.38893,                 0.3668,                0.84109,               0.000614,               0.000614,               0.000614
                     72,                0.46509,                0.39596,                0.94263,                0.94601,                   0.95,                0.96388,                0.90313,                 0.3755,                 0.3531,                0.84762,              0.0005942,              0.0005942,              0.0005942
                     73,                0.49549,                0.42039,                0.97714,                 0.9511,                  0.975,                0.96841,                0.91997,                0.36083,                0.33211,                 0.8378,              0.0005744,              0.0005744,              0.0005744
                     74,                0.47793,                0.40197,                0.98277,                0.94902,                  0.975,                0.97778,                0.91795,                0.38215,                0.34435,                0.83376,              0.0005546,              0.0005546,              0.0005546
                     75,                0.49117,                0.40167,                0.95104,                0.96426,                  0.975,                0.97896,                0.92036,                0.38075,                0.35527,                0.83531,              0.0005348,              0.0005348,              0.0005348
                     76,                0.48787,                0.40957,                 0.9466,                0.97007,                  0.975,                0.97913,                0.91716,                0.36611,                0.35436,                0.83116,               0.000515,               0.000515,               0.000515
                     77,                0.53204,                0.42377,                 1.0011,                0.97193,                  0.975,                0.97795,                0.91893,                0.36407,                 0.3534,                 0.8302,              0.0004952,              0.0004952,              0.0004952
                     78,                0.45124,                0.37705,                0.95645,                0.97229,                  0.975,                0.97488,                0.92376,                0.36749,                0.34235,                0.82872,              0.0004754,              0.0004754,              0.0004754
                     79,                0.49391,                0.41074,                0.98129,                0.97327,                  0.975,                0.96952,                0.91034,                0.37472,                0.35667,                 0.8328,              0.0004556,              0.0004556,              0.0004556
                     80,                0.48419,                0.40011,                0.93762,                0.97477,                0.96598,                0.96717,                 0.9089,                0.37918,                0.37115,                0.83309,              0.0004358,              0.0004358,              0.0004358
                     81,                0.45685,                0.36306,                0.92444,                0.94905,                  0.975,                0.96104,                0.89828,                0.37749,                0.36042,                 0.8317,               0.000416,               0.000416,               0.000416
                     82,                0.47317,                0.36736,                0.95261,                0.94864,                  0.975,                0.94867,                0.89564,                0.37552,                0.37533,                0.82913,              0.0003962,              0.0003962,              0.0003962
                     83,                0.50939,                    0.4,                0.98771,                 0.9492,                  0.975,                0.95135,                 0.8995,                0.36314,                0.37253,                0.82754,              0.0003764,              0.0003764,              0.0003764
                     84,                0.51267,                  0.385,                0.95959,                0.94954,                  0.975,                0.95684,                0.90568,                0.36285,                0.35161,                0.82695,              0.0003566,              0.0003566,              0.0003566
                     85,                0.52787,                0.40357,                 0.9849,                0.94956,                  0.975,                0.96086,                0.91696,                0.35398,                0.35464,                0.82746,              0.0003368,              0.0003368,              0.0003368
                     86,                0.42946,                0.33981,                0.93088,                0.96797,                  0.975,                0.96293,                0.92189,                 0.3405,                0.35069,                  0.827,               0.000317,               0.000317,               0.000317
                     87,                0.44599,                0.34655,                0.93841,                0.97154,                  0.975,                0.96407,                0.92236,                0.34598,                0.34509,                0.82797,              0.0002972,              0.0002972,              0.0002972
                     88,                0.45062,                0.35048,                0.93156,                0.97247,                  0.975,                0.96439,                 0.9225,                0.34211,                0.34685,                0.82537,              0.0002774,              0.0002774,              0.0002774
                     89,                0.43759,                0.34871,                0.94047,                0.97258,                  0.975,                0.96371,                0.91284,                0.35071,                0.34232,                0.82583,              0.0002576,              0.0002576,              0.0002576
                     90,                0.45101,                0.34059,                0.94389,                0.97213,                  0.975,                0.96335,                 0.9126,                0.37274,                0.34676,                0.83074,              0.0002378,              0.0002378,              0.0002378
                     91,                0.33361,                0.27753,                0.82301,                0.97183,                  0.975,                0.97067,                0.92214,                0.36036,                0.34193,                0.83001,               0.000218,               0.000218,               0.000218
                     92,                0.32544,                0.26652,                0.81721,                0.97225,                  0.975,                0.97318,                0.93032,                0.35173,                0.32575,                0.82963,              0.0001982,              0.0001982,              0.0001982
                     93,                0.32084,                0.27085,                0.80555,                0.97275,                  0.975,                0.97551,                0.93492,                0.34634,                0.31287,                0.82747,              0.0001784,              0.0001784,              0.0001784
                     94,                0.31247,                0.27154,                0.82447,                0.97315,                  0.975,                0.97834,                0.93568,                0.34181,                0.31313,                0.82516,              0.0001586,              0.0001586,              0.0001586
                     95,                0.30442,                0.25832,                0.81552,                0.97299,                  0.975,                0.97786,                0.93427,                0.33906,                0.31558,                0.82394,              0.0001388,              0.0001388,              0.0001388
                     96,                0.30371,                0.25554,                0.82002,                 0.9728,                  0.975,                0.97736,                0.93941,                0.33934,                0.30796,                0.82176,               0.000119,               0.000119,               0.000119
                     97,                0.29616,                0.24819,                 0.8233,                0.97256,                  0.975,                0.97536,                 0.9312,                0.33477,                0.30475,                0.82126,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                0.30193,                0.24386,                0.82841,                0.97232,                  0.975,                0.97044,                0.92513,                  0.334,                0.29566,                0.82153,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                0.30579,                0.24519,                0.83691,                 0.9725,                  0.975,                0.97053,                0.92744,                0.33146,                0.29606,                0.82189,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                0.30671,                0.24914,                0.83251,                0.97254,                  0.975,                0.97084,                0.92773,                0.32783,                0.29438,                0.82174,               3.98e-05,               3.98e-05,               3.98e-05
