                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.58018,                 1.9156,                 1.0591,                0.93269,                   0.95,                0.97483,                0.80912,                0.57233,                 1.4346,                0.91857,                0.00034,                0.00034,                0.00034
                      2,                 0.6962,                 1.4797,                 1.0229,                0.52139,                   0.45,                0.33491,                0.23883,                 1.2398,                 2.3443,                 1.4023,             0.00069307,             0.00069307,             0.00069307
                      3,                0.90745,                 1.4525,                 1.2138,                0.00419,                   0.65,                0.00368,                0.00226,                 1.4041,                    inf,                 20.513,               0.001039,               0.001039,               0.001039
                      4,                0.94889,                 1.5252,                  1.243,                0.00227,                    0.3,                0.00138,                0.00055,                 2.4381,                    inf,                  5.921,              0.0013778,              0.0013778,              0.0013778
                      5,                0.92418,                  1.174,                 1.1767,                0.00109,                  0.125,                0.00058,                0.00017,                 3.2096,                    nan,                 438.56,              0.0017095,              0.0017095,              0.0017095
                      6,                 1.0979,                 1.2232,                 1.3059,                0.00024,                  0.075,                 0.0002,                  7e-05,                 4.0009,                    inf,                 580.62,               0.001901,               0.001901,               0.001901
                      7,                 1.0032,                 1.4055,                 1.2445,                0.00049,                   0.15,                0.00036,                 0.0001,                 4.1362,                    inf,                 109.29,              0.0018812,              0.0018812,              0.0018812
                      8,                 1.0957,                 1.2803,                  1.307,                0.00033,                    0.1,                0.00018,                  4e-05,                 5.0236,                    inf,                 24.182,              0.0018614,              0.0018614,              0.0018614
                      9,                0.96866,                 1.1207,                 1.2364,                0.00033,                    0.1,                0.00018,                  4e-05,                 5.0231,                    inf,                  216.3,              0.0018416,              0.0018416,              0.0018416
                     10,                 1.0262,                 1.0915,                 1.2339,                0.00033,                    0.1,                0.00018,                  4e-05,                 1.6495,                    inf,                  108.9,              0.0018218,              0.0018218,              0.0018218
